PartNo. 	 DateTime. 	 Clamp. 	 Main. 	 Top. 	 Bottom. 
1 	 8/28/20267:24:31 PM 	 24.920975 	 59.522485 	 17.784216 	 17.996601 	 1 
2 	 8/28/20267:24:31 PM 	 26.639982 	 59.638898 	 17.524493 	 17.840490 	 0 
3 	 8/28/20267:24:31 PM 	 26.428673 	 59.417077 	 17.930848 	 17.838075 	 0 
4 	 8/28/20267:24:31 PM 	 0.000000 	 59.472010 	 17.588979 	 17.811615 	 0 
5 	 8/28/20267:24:31 PM 	 25.350939 	 59.498539 	 17.621030 	 17.838441 	 1 
6 	 8/28/20267:24:31 PM 	 25.437662 	 59.621482 	 17.469921 	 17.765648 	 1 
7 	 8/28/20267:24:32 PM 	 28.361599 	 59.502909 	 17.666096 	 17.747159 	 0 
8 	 8/28/20267:24:32 PM 	 0.000000 	 59.445854 	 17.673897 	 17.896674 	 0 
9 	 8/28/20267:24:32 PM 	 25.255680 	 59.420536 	 17.832305 	 18.025432 	 0 
10 	 8/28/20267:24:32 PM 	 24.672480 	 59.503860 	 17.297718 	 17.682748 	 1 
11 	 8/28/20267:24:32 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
12 	 8/28/20267:24:32 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
13 	 8/28/20267:24:32 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
14 	 8/28/20267:24:32 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
15 	 8/28/20267:24:32 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
16 	 8/28/20267:24:32 PM 	 0.000000 	 59.460858 	 17.743373 	 17.875102 	 0 
17 	 8/28/20267:24:32 PM 	 25.021221 	 59.534321 	 17.755287 	 17.803240 	 1 
18 	 8/28/20267:24:32 PM 	 24.920975 	 59.522485 	 17.784216 	 17.996601 	 1 
19 	 8/28/20267:24:32 PM 	 26.639982 	 59.638898 	 17.524493 	 17.840490 	 0 
20 	 8/28/20267:24:32 PM 	 26.428673 	 59.417077 	 17.930848 	 17.838075 	 0 
21 	 8/28/20267:24:32 PM 	 0.000000 	 59.472010 	 17.588979 	 17.811615 	 0 
22 	 8/28/20267:24:32 PM 	 25.350939 	 59.498539 	 17.621030 	 17.838441 	 1 
